NO_OF_FRAMES	254
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-09-29, 11:43:32	9245.71777628
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
4384	21.91500	-451.239	293.041	1587.262	-584.603	425.159	1324.184	-786.997	469.932	1106.028	-576.541	495.001	1003.372	-504.460	161.757	1332.364	-538.245	8.944	1065.531	-400.654	180.414	1056.252	-569.084	455.060	791.134	-437.061	372.966	437.280	-519.241	344.431	70.705	-554.831	300.444	42.735	-413.169	373.871	30.978	-357.233	322.342	43.875	-557.022	102.073	825.505	-718.363	108.973	421.577	-1076.192	114.362	302.124	-1094.826	169.615	328.942	-1131.150	83.391	201.264	-1101.730	105.639	135.649
4385	21.92000	-442.376	294.606	1584.846	-576.509	426.488	1320.786	-777.215	471.842	1100.365	-565.658	494.952	1001.436	-496.812	161.553	1330.777	-530.084	9.951	1061.494	-393.287	181.656	1056.704	-561.652	456.712	790.584	-426.571	372.784	438.258	-517.710	344.051	70.668	-553.792	299.358	43.057	-412.900	375.527	29.751	-355.293	322.326	39.684	-547.385	102.704	820.565	-706.268	107.584	419.186	-1065.122	115.149	308.359	-1083.195	170.186	336.425	-1122.426	84.005	208.422	-1096.516	105.989	143.115
4386	21.92500	-433.922	295.953	1583.136	-569.355	427.716	1318.133	-766.895	473.894	1094.357	-553.384	494.529	999.568	-488.537	161.705	1329.232	-522.986	10.822	1058.552	-385.890	182.674	1057.989	-553.422	457.488	790.311	-415.331	371.631	439.665	-516.251	343.428	70.132	-552.639	298.674	43.760	-412.504	376.044	29.288	-352.794	323.821	37.250	-538.539	102.583	817.062	-693.853	106.719	416.212	-1053.790	116.000	314.009	-1070.900	170.977	342.916	-1115.255	84.914	216.434	-1092.965	105.804	152.289
4387	21.93000	-425.021	297.320	1580.505	-562.218	428.739	1315.678	-756.942	475.645	1089.277	-541.554	494.068	997.042	-480.502	161.674	1327.614	-516.682	11.070	1056.262	-379.536	182.979	1058.127	-545.599	458.143	789.945	-404.377	370.046	439.561	-514.826	342.775	69.506	-551.646	298.137	44.176	-411.920	375.723	29.418	-349.713	325.291	37.398	-528.037	103.623	811.826	-680.035	106.165	413.738	-1041.799	116.910	319.414	-1057.665	171.906	349.035	-1106.540	85.430	225.789	-1085.279	107.017	159.091
4388	21.93500	-415.876	298.805	1577.847	-554.573	429.529	1312.816	-746.311	477.514	1083.396	-529.689	494.005	995.916	-472.685	161.509	1325.571	-508.686	12.363	1051.892	-372.126	184.183	1059.045	-537.997	458.747	789.961	-394.288	368.452	437.203	-513.316	342.433	69.061	-551.152	297.881	44.432	-411.499	375.262	29.743	-346.770	326.627	38.061	-519.202	103.984	808.907	-666.156	105.975	410.112	-1029.330	117.688	324.811	-1044.588	172.846	355.449	-1097.547	87.003	232.889	-1078.069	108.034	166.573
4389	21.94000	-407.122	300.153	1576.217	-547.285	430.618	1310.709	-735.334	479.782	1077.063	-517.789	493.751	993.711	-463.700	162.176	1322.572	-501.835	13.195	1048.943	-365.085	184.778	1057.181	-530.151	459.022	790.174	-385.174	367.603	435.294	-512.169	341.964	68.933	-550.975	297.774	44.624	-411.082	375.235	29.904	-344.028	328.349	37.880	-509.117	105.927	803.645	-652.071	105.298	406.964	-1016.586	118.638	330.092	-1030.935	173.600	361.724	-1086.846	87.641	240.021	-1069.373	109.520	172.268
4390	21.94500	-397.693	301.447	1573.910	-539.685	431.392	1308.338	-724.278	482.293	1071.403	-505.298	493.558	991.569	-455.637	162.466	1321.389	-495.415	14.415	1046.886	-358.105	185.131	1055.439	-522.862	459.275	790.752	-377.399	366.486	432.374	-511.199	341.262	68.912	-550.721	297.398	44.980	-411.147	375.399	29.614	-341.567	330.832	35.760	-500.727	106.493	800.091	-638.007	105.096	404.154	-1003.722	119.367	335.555	-1016.389	174.462	367.190	-1075.624	88.668	246.421	-1059.369	111.157	180.461
4391	21.95000	-388.642	302.691	1571.580	-532.020	432.087	1305.320	-712.997	484.722	1065.630	-492.826	493.776	990.043	-447.535	162.689	1319.728	-488.035	15.643	1044.231	-350.363	186.564	1055.545	-514.765	459.225	790.883	-370.768	365.897	428.921	-510.546	340.826	68.938	-550.580	296.934	45.360	-410.981	375.280	29.554	-339.428	332.975	34.226	-492.226	107.513	796.245	-623.909	105.037	400.535	-989.884	119.839	340.772	-1002.010	175.113	372.102	-1063.914	89.248	253.869	-1049.287	113.159	187.025
4392	21.95500	-379.653	303.656	1569.935	-525.524	432.410	1303.191	-701.148	487.235	1058.689	-480.247	493.174	988.343	-438.365	163.807	1316.694	-480.760	17.109	1042.969	-343.218	187.022	1055.264	-507.071	459.746	790.416	-365.382	365.434	426.386	-510.137	340.448	68.878	-550.328	296.507	45.888	-410.947	375.081	29.793	-338.642	334.873	33.109	-482.978	108.503	791.793	-609.073	104.935	397.578	-976.075	120.235	345.525	-986.772	175.847	377.009	-1050.849	90.665	259.710	-1037.825	114.297	192.781
4393	21.96000	-369.904	304.744	1567.450	-516.492	432.820	1301.127	-689.338	489.739	1053.355	-466.845	491.978	985.639	-430.219	164.412	1314.642	-474.053	18.063	1042.107	-335.590	187.078	1053.664	-498.705	460.548	788.622	-359.525	364.451	421.461	-509.924	340.040	69.130	-550.272	296.491	46.254	-410.947	374.934	29.538	-338.985	336.355	32.869	-473.633	108.873	788.891	-594.774	104.969	395.100	-961.799	120.436	349.996	-971.954	176.501	381.370	-1036.886	90.989	264.446	-1025.048	115.857	197.402
