NO_OF_FRAMES	232
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-09-29, 11:56:00	9992.86951533
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
3182	15.90500	82.287	272.192	1564.123	-37.706	428.649	1314.324	-12.860	552.564	1022.291	161.731	505.338	857.230	-44.632	154.718	1318.290	-124.324	37.779	1030.323	-67.493	30.511	806.744	-62.950	449.264	785.070	-146.433	405.562	406.593	-415.958	399.292	143.727	-458.195	355.249	147.195	-361.390	422.594	37.629	-307.359	381.497	31.263	19.819	102.765	833.009	139.962	160.153	435.230	163.206	146.608	64.606	124.272	193.678	36.007	269.078	131.835	30.289	318.242	175.177	60.107
3183	15.91000	89.837	270.683	1564.816	-30.417	427.469	1315.250	-7.283	551.058	1022.631	166.387	504.136	856.661	-37.562	153.049	1319.026	-117.317	36.670	1030.595	-60.909	29.025	806.122	-55.911	447.838	785.037	-136.649	406.304	405.911	-410.408	398.497	147.996	-451.781	353.993	151.911	-360.638	421.896	38.609	-307.550	381.558	31.661	27.146	101.682	834.581	146.272	159.575	437.064	162.166	146.975	65.373	124.899	193.085	36.562	269.558	132.319	28.258	316.977	176.890	55.605
3184	15.91500	97.693	269.540	1565.443	-23.110	426.184	1316.292	-1.745	549.624	1023.509	170.920	503.524	856.325	-30.635	151.780	1319.559	-110.608	36.038	1031.214	-56.586	29.380	806.590	-48.304	446.452	785.004	-126.626	407.051	404.735	-405.039	398.019	151.625	-445.391	352.723	156.453	-359.595	421.895	39.592	-307.020	382.086	32.776	34.558	100.814	836.915	153.140	159.446	439.403	161.944	146.944	66.118	125.582	192.653	37.373	270.212	132.867	26.073	318.066	178.860	53.372
3185	15.92000	105.208	268.237	1565.784	-15.634	424.452	1317.224	3.598	547.975	1024.276	175.678	502.827	856.351	-23.302	150.641	1320.618	-103.717	34.844	1031.807	-50.129	28.269	806.758	-39.653	445.223	784.326	-116.145	408.092	403.370	-398.846	396.803	155.210	-438.439	351.673	161.557	-357.923	421.466	41.215	-306.774	382.019	33.004	40.917	100.006	839.106	159.071	159.040	440.757	162.173	147.454	63.804	126.512	192.321	38.333	271.838	133.725	23.796	320.272	180.379	51.308
3186	15.92500	112.511	266.974	1565.957	-7.863	423.063	1317.393	8.697	546.422	1024.956	179.629	502.291	855.576	-15.733	149.359	1320.938	-97.228	33.862	1032.442	-43.954	26.988	806.470	-31.861	444.047	783.164	-105.729	408.889	402.871	-392.706	394.880	159.725	-430.643	349.946	166.070	-356.718	421.081	43.112	-306.713	381.416	32.506	47.138	99.520	840.706	165.182	159.131	442.341	164.499	146.335	63.931	127.417	192.108	38.964	272.798	133.932	21.995	322.005	180.806	49.050
3187	15.93000	120.287	265.616	1567.154	-0.076	421.476	1317.803	14.000	544.823	1025.967	183.800	501.641	855.456	-8.737	148.383	1320.983	-89.686	33.076	1033.579	-38.029	26.456	806.164	-24.860	443.437	782.386	-94.868	409.625	403.074	-385.861	393.883	163.320	-422.614	348.189	170.803	-355.184	420.545	45.024	-306.071	380.838	32.638	54.198	98.826	843.307	171.685	159.149	443.492	167.209	145.399	63.000	128.283	191.937	39.773	273.669	131.871	20.499	324.196	181.015	45.063
3188	15.93500	127.359	264.465	1567.845	7.392	420.237	1318.479	19.520	543.523	1026.922	188.108	501.069	855.122	-1.469	147.442	1321.775	-82.813	31.831	1034.779	-31.172	25.181	807.710	-17.659	442.580	783.070	-83.725	410.217	401.596	-378.793	394.147	165.752	-414.649	346.984	175.692	-353.143	419.664	48.028	-305.243	379.988	32.678	59.454	98.302	843.687	176.318	158.534	443.723	169.550	145.557	62.457	129.050	191.713	40.226	273.600	129.614	17.804	325.059	180.544	42.707
3189	15.94000	134.467	263.351	1567.917	14.868	419.061	1318.779	24.708	542.102	1027.512	191.974	500.564	854.779	5.382	146.330	1323.007	-76.052	31.007	1035.186	-26.814	25.729	809.857	-10.595	441.284	783.884	-72.394	410.606	400.123	-371.269	393.342	169.305	-406.645	344.934	181.108	-350.840	418.975	50.713	-303.633	378.382	33.652	66.173	97.441	845.579	181.402	157.817	443.793	170.364	145.674	62.141	129.452	191.739	40.597	273.341	128.441	16.552	325.646	179.814	41.466
3190	15.94500	141.774	261.942	1568.362	21.782	417.145	1318.850	29.842	540.585	1028.081	195.973	499.752	854.332	12.408	145.483	1323.752	-68.452	30.168	1036.474	-19.629	24.257	811.239	-4.136	440.371	783.109	-61.739	410.958	398.353	-363.985	392.026	172.673	-397.828	343.205	185.997	-347.380	418.083	54.252	-301.165	376.579	34.452	72.615	96.598	845.990	186.437	156.766	443.265	170.044	145.791	61.875	129.826	191.700	40.882	273.704	128.221	16.281	326.814	178.709	40.994
3191	15.95000	149.389	261.164	1568.940	29.257	415.896	1319.664	34.904	539.327	1028.979	199.698	498.959	853.221	19.712	144.627	1324.376	-61.686	28.991	1037.447	-12.327	22.808	811.951	3.310	439.485	782.994	-50.251	411.332	397.330	-356.403	390.673	176.947	-388.639	341.648	191.404	-343.546	416.885	57.005	-298.876	375.664	34.646	77.926	95.381	845.934	191.298	156.111	442.075	168.469	145.870	61.970	130.167	191.668	40.911	274.183	127.860	16.371	327.851	177.124	40.266
