NO_OF_FRAMES	691
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-09-29, 11:03:54	6867.40290917
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
79	0.39000	330.490	275.712	1618.742	275.046	414.622	1348.447	230.849	485.792	1038.541	290.082	544.377	816.812	284.273	132.389	1349.970	247.361	44.667	1038.567	331.174	-11.073	837.380	301.147	441.451	816.825	292.467	401.216	431.970	208.090	420.428	69.300	172.203	368.399	28.548	313.568	457.636	27.595	377.423	426.164	28.595	300.095	83.798	817.950	292.285	121.574	426.217	210.174	97.537	67.564	166.581	139.000	33.911	317.642	63.878	26.067	384.576	112.052	27.012
80	0.39500	330.521	275.704	1618.757	275.105	414.598	1348.496	230.864	485.847	1038.530	290.171	544.319	816.714	284.364	132.337	1349.915	247.389	44.722	1038.476	331.127	-11.064	837.389	301.134	441.466	816.728	292.593	401.318	431.865	208.088	420.438	69.269	172.095	368.434	28.660	313.681	457.643	27.470	377.413	426.301	28.729	300.119	83.808	817.903	292.271	121.573	426.340	210.235	97.533	67.577	166.598	139.028	33.823	317.548	63.835	26.205	384.604	111.856	27.034
81	0.40000	330.636	275.739	1618.686	275.099	414.525	1348.395	230.888	485.739	1038.513	290.238	544.332	816.772	284.376	132.353	1349.849	247.438	44.731	1038.435	331.206	-11.029	837.371	301.129	441.487	816.801	292.623	401.240	431.783	208.012	420.335	69.277	172.284	368.382	28.443	313.589	457.634	27.562	377.400	426.292	28.739	300.138	83.846	817.913	292.356	121.560	426.196	210.174	97.502	67.626	166.652	139.046	33.747	317.541	63.917	26.111	384.591	111.983	26.935
82	0.40500	330.669	275.705	1618.622	275.045	414.521	1348.510	230.887	485.782	1038.520	290.260	544.361	816.723	284.370	132.305	1349.954	247.401	44.713	1038.399	331.165	-11.053	837.427	301.195	441.535	816.752	292.624	401.209	431.768	207.968	420.443	69.570	172.175	368.445	28.673	313.681	457.647	27.545	377.368	426.306	28.645	300.172	83.801	817.946	292.301	121.589	426.234	210.347	97.550	67.391	166.663	139.064	33.900	317.657	63.995	25.967	384.575	111.983	27.065
83	0.41000	330.674	275.666	1618.695	275.173	414.491	1348.446	230.883	485.743	1038.523	290.307	544.340	816.780	284.454	132.330	1349.860	247.423	44.751	1038.442	331.233	-11.002	837.346	301.157	441.476	816.820	292.455	401.185	431.744	207.958	420.386	69.561	172.076	368.356	28.701	313.615	457.628	27.568	377.391	426.281	28.734	300.161	83.769	817.892	292.297	121.600	426.176	210.173	97.490	67.542	166.765	139.126	33.712	317.522	63.892	26.106	384.539	111.784	27.142
84	0.41500	330.664	275.623	1618.799	275.179	414.582	1348.392	230.903	485.728	1038.511	290.295	544.329	816.764	284.468	132.300	1349.861	247.410	44.796	1038.354	331.223	-11.033	837.305	301.231	441.509	816.787	292.536	401.194	431.767	207.898	420.263	69.414	172.146	368.487	28.624	313.773	457.637	27.469	377.418	426.278	28.797	300.193	83.809	817.856	292.395	121.601	426.148	210.251	97.520	67.477	166.789	139.081	33.786	317.578	63.897	26.119	384.651	111.851	27.207
85	0.42000	330.730	275.660	1618.725	275.122	414.606	1348.441	230.990	485.734	1038.532	290.292	544.360	816.739	284.520	132.294	1349.826	247.418	44.779	1038.303	331.205	-11.029	837.375	301.188	441.500	816.849	292.586	401.162	431.788	207.934	420.449	69.425	172.201	368.434	28.633	313.640	457.614	27.522	377.342	426.267	28.735	300.150	83.845	817.955	292.393	121.592	426.175	210.213	97.556	67.530	166.643	139.006	33.891	317.564	63.957	26.063	384.620	111.806	27.140
86	0.42500	330.816	275.647	1618.725	275.157	414.526	1348.531	231.039	485.758	1038.494	290.399	544.344	816.713	284.475	132.305	1349.913	247.450	44.860	1038.242	331.235	-11.040	837.356	301.239	441.473	816.749	292.545	401.294	431.920	208.104	420.390	69.285	172.167	368.428	28.594	313.609	457.712	27.605	377.431	426.202	28.653	300.203	83.854	817.913	292.391	121.583	426.170	210.314	97.548	67.550	166.572	139.090	33.836	317.615	64.006	26.056	384.591	111.913	26.985
87	0.43000	330.825	275.634	1618.725	275.304	414.468	1348.409	231.088	485.716	1038.557	290.371	544.312	816.769	284.478	132.258	1349.853	247.441	44.861	1038.202	331.291	-11.020	837.313	301.321	441.507	816.820	292.495	401.163	431.904	208.007	420.396	69.400	172.098	368.418	28.702	313.549	457.650	27.615	377.459	426.144	28.689	300.242	83.785	817.893	292.399	121.681	426.247	210.230	97.558	67.588	166.709	139.095	33.848	317.573	63.950	26.147	384.425	111.761	27.088
88	0.43500	330.925	275.621	1618.678	275.278	414.569	1348.487	231.030	485.646	1038.526	290.399	544.320	816.819	284.523	132.271	1349.902	247.414	44.829	1038.228	331.227	-11.033	837.340	301.287	441.546	816.736	292.511	401.325	431.966	207.995	420.363	69.440	172.070	368.337	28.624	313.599	457.662	27.574	377.295	426.250	28.687	300.201	83.785	818.004	292.557	121.640	426.085	210.341	97.507	67.500	166.600	139.109	33.902	317.590	63.938	26.018	384.419	111.792	27.197
89	0.44000	330.985	275.668	1618.682	275.450	414.397	1348.465	231.116	485.673	1038.582	290.490	544.269	816.732	284.577	132.243	1349.863	247.505	44.897	1038.119	331.308	-11.009	837.329	301.289	441.450	816.829	292.468	401.209	431.751	208.008	420.396	69.358	172.218	368.433	28.400	313.599	457.673	27.653	377.395	426.316	28.719	300.241	83.800	817.943	292.368	121.576	426.094	210.256	97.516	67.556	166.623	139.092	33.846	317.502	63.940	26.086	384.609	111.881	27.043
90	0.44500	331.110	275.730	1618.740	275.376	414.489	1348.436	231.084	485.708	1038.573	290.441	544.261	816.780	284.648	132.296	1349.870	247.522	44.816	1038.174	331.288	-10.999	837.320	301.389	441.417	816.756	292.427	401.218	431.890	207.935	420.420	69.298	172.086	368.401	28.701	313.608	457.602	27.566	377.403	426.283	28.666	300.239	83.777	817.928	292.342	121.613	426.208	210.276	97.597	67.590	166.611	139.060	33.837	317.540	63.949	26.236	384.595	111.845	26.887
91	0.45000	331.038	275.639	1618.685	275.368	414.481	1348.406	231.205	485.715	1038.570	290.489	544.232	816.860	284.643	132.217	1349.864	247.452	44.784	1038.214	331.278	-10.996	837.269	301.357	441.567	816.795	292.449	401.193	431.855	208.044	420.379	69.263	172.199	368.322	28.551	313.597	457.674	27.489	377.335	426.305	28.657	300.190	83.819	817.977	292.462	121.684	426.180	210.172	97.464	67.520	166.657	139.044	33.783	317.599	63.963	26.086	384.645	111.902	27.080
92	0.45500	331.059	275.554	1618.695	275.505	414.394	1348.409	231.149	485.610	1038.599	290.466	544.283	816.718	284.584	132.128	1349.864	247.534	44.829	1038.168	331.292	-10.983	837.278	301.459	441.532	816.789	292.419	401.226	431.822	208.070	420.412	69.249	172.202	368.536	28.494	313.696	457.734	27.535	377.336	426.240	28.669	300.270	83.757	817.936	292.321	121.603	426.133	210.209	97.559	67.519	166.547	139.046	33.936	317.561	63.943	26.064	384.530	111.894	27.117
