X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
22.049154	1.022741e-05	6.822568e-05	8.616039e-06	7.303548e-06	
22.050155	1.029681e-05	6.772878e-05	8.759263e-06	7.202174e-06	
22.051156	1.036463e-05	6.722293e-05	8.902165e-06	7.096492e-06	
22.052157	1.043070e-05	6.670911e-05	9.044301e-06	6.986571e-06	
22.053158	1.049484e-05	6.618830e-05	9.185229e-06	6.872478e-06	
22.054159	1.055687e-05	6.566148e-05	9.324506e-06	6.754280e-06	
22.055160	1.061661e-05	6.512964e-05	9.461690e-06	6.632047e-06	
22.056160	1.067389e-05	6.459376e-05	9.596338e-06	6.505844e-06	
22.057161	1.072854e-05	6.405483e-05	9.728007e-06	6.375742e-06	
22.058162	1.078037e-05	6.351381e-05	9.856254e-06	6.241806e-06	
22.059163	1.082920e-05	6.297170e-05	9.980638e-06	6.104105e-06	
22.060164	1.087487e-05	6.242948e-05	1.010071e-05	5.962708e-06	
22.061165	1.091719e-05	6.188813e-05	1.021604e-05	5.817681e-06	
22.062166	1.095598e-05	6.134863e-05	1.032618e-05	5.669092e-06	
22.063167	1.099108e-05	6.081196e-05	1.043068e-05	5.517010e-06	
22.064167	1.102230e-05	6.027911e-05	1.052910e-05	5.361502e-06	
22.065168	1.104947e-05	5.975106e-05	1.062100e-05	5.202636e-06	
22.066169	1.107241e-05	5.922879e-05	1.070594e-05	5.040480e-06	
22.067170	1.109094e-05	5.871328e-05	1.078347e-05	4.875101e-06	
22.068171	1.110489e-05	5.820551e-05	1.085316e-05	4.706568e-06	
22.069172	1.111407e-05	5.770647e-05	1.091455e-05	4.534948e-06	
22.070173	1.111832e-05	5.721714e-05	1.096721e-05	4.360310e-06	
22.071173	1.111746e-05	5.673850e-05	1.101069e-05	4.182720e-06	
22.072174	1.111130e-05	5.627154e-05	1.104456e-05	4.002247e-06	
22.073175	1.109968e-05	5.581723e-05	1.106836e-05	3.818958e-06	
22.074176	1.108241e-05	5.537655e-05	1.108166e-05	3.632923e-06	
22.075177	1.105934e-05	5.495043e-05	1.108405e-05	3.444235e-06	
22.076178	1.103056e-05	5.453902e-05	1.107559e-05	3.253315e-06	
22.077179	1.099628e-05	5.414199e-05	1.105664e-05	3.060788e-06	
22.078179	1.095674e-05	5.375900e-05	1.102756e-05	2.867281e-06	
22.079180	1.091218e-05	5.338973e-05	1.098870e-05	2.673422e-06	
22.080181	1.086282e-05	5.303382e-05	1.094043e-05	2.479839e-06	
22.081182	1.080891e-05	5.269096e-05	1.088309e-05	2.287160e-06	
22.082183	1.075067e-05	5.236079e-05	1.081706e-05	2.096014e-06	
22.083184	1.068833e-05	5.204299e-05	1.074269e-05	1.907027e-06	
22.084185	1.062214e-05	5.173722e-05	1.066033e-05	1.720829e-06	
22.085186	1.055231e-05	5.144314e-05	1.057035e-05	1.538047e-06	
22.086186	1.047909e-05	5.116043e-05	1.047311e-05	1.359309e-06	
22.087187	1.040271e-05	5.088873e-05	1.036896e-05	1.185243e-06	
22.088188	1.032340e-05	5.062772e-05	1.025826e-05	1.016477e-06	
22.089189	1.024139e-05	5.037706e-05	1.014138e-05	8.536389e-07	
22.090190	1.015691e-05	5.013642e-05	1.001867e-05	6.973569e-07	
22.091191	1.007020e-05	4.990545e-05	9.890483e-06	5.482589e-07	
22.092192	9.981493e-06	4.968383e-05	9.757187e-06	4.069728e-07	
22.093192	9.891019e-06	4.947122e-05	9.619138e-06	2.741267e-07	
22.094193	9.799010e-06	4.926727e-05	9.476694e-06	1.503485e-07	
22.095194	9.705700e-06	4.907167e-05	9.330215e-06	3.626616e-08	
22.096195	9.611321e-06	4.888406e-05	9.180058e-06	-6.749230e-08	
22.097196	9.516107e-06	4.870411e-05	9.026583e-06	-1.602989e-07	
22.098197	9.420289e-06	4.853150e-05	8.870149e-06	-2.415257e-07	
22.099198	9.324101e-06	4.836587e-05	8.711113e-06	-3.105447e-07	
22.100198	9.227775e-06	4.820691e-05	8.549835e-06	-3.667279e-07	
22.101199	9.131544e-06	4.805426e-05	8.386674e-06	-4.094473e-07	
22.102200	9.035641e-06	4.790760e-05	8.221989e-06	-4.380750e-07	
22.103201	8.940299e-06	4.776658e-05	8.056137e-06	-4.519830e-07	
22.104202	8.845749e-06	4.763088e-05	7.889478e-06	-4.505432e-07	
22.105203	8.752226e-06	4.750016e-05	7.722370e-06	-4.331278e-07	
22.106204	8.659961e-06	4.737408e-05	7.555173e-06	-3.991087e-07	
22.107204	8.569188e-06	4.725230e-05	7.388245e-06	-3.478580e-07	
22.108205	8.480139e-06	4.713450e-05	7.221944e-06	-2.787477e-07	
22.109206	8.393046e-06	4.702032e-05	7.056630e-06	-1.911497e-07	
22.110207	8.308144e-06	4.690945e-05	6.892661e-06	-8.443620e-08	
22.111208	8.225663e-06	4.680154e-05	6.730396e-06	4.202088e-08	
22.112209	8.145837e-06	4.669625e-05	6.570194e-06	1.888495e-07	
22.113210	8.068900e-06	4.659325e-05	6.412413e-06	3.566776e-07	
22.114211	7.995082e-06	4.649221e-05	6.257412e-06	5.461332e-07	
22.115211	7.924618e-06	4.639279e-05	6.105549e-06	7.578443e-07	
22.116212	7.857740e-06	4.629465e-05	5.957185e-06	9.924389e-07	
22.117213	7.794680e-06	4.619746e-05	5.812676e-06	1.250545e-06	
22.118214	7.735672e-06	4.610088e-05	5.672383e-06	1.532790e-06	
22.119215	7.680948e-06	4.600458e-05	5.536663e-06	1.839803e-06	
22.120216	7.630740e-06	4.590821e-05	5.405876e-06	2.172211e-06	
22.121217	7.585283e-06	4.581145e-05	5.280380e-06	2.530643e-06	
