X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
16.475586	3.311805e-06	1.748753e-05	2.592262e-06	2.099056e-06	
16.476587	3.406398e-06	1.784060e-05	2.652443e-06	2.196697e-06	
16.477588	3.505348e-06	1.821752e-05	2.716816e-06	2.301228e-06	
16.478589	3.608338e-06	1.861703e-05	2.785075e-06	2.412192e-06	
16.479590	3.715049e-06	1.903783e-05	2.856911e-06	2.529130e-06	
16.480591	3.825163e-06	1.947865e-05	2.932017e-06	2.651586e-06	
16.481592	3.938362e-06	1.993822e-05	3.010086e-06	2.779101e-06	
16.482593	4.054327e-06	2.041526e-05	3.090810e-06	2.911219e-06	
16.483594	4.172740e-06	2.090849e-05	3.173881e-06	3.047482e-06	
16.484595	4.293284e-06	2.141663e-05	3.258992e-06	3.187433e-06	
16.485596	4.415639e-06	2.193840e-05	3.345835e-06	3.330614e-06	
16.486597	4.539489e-06	2.247253e-05	3.434103e-06	3.476567e-06	
16.487598	4.664513e-06	2.301773e-05	3.523488e-06	3.624836e-06	
16.488599	4.790395e-06	2.357274e-05	3.613683e-06	3.774962e-06	
16.489600	4.916816e-06	2.413627e-05	3.704380e-06	3.926489e-06	
16.490601	5.043458e-06	2.470705e-05	3.795272e-06	4.078959e-06	
16.491602	5.170003e-06	2.528380e-05	3.886050e-06	4.231914e-06	
16.492602	5.296132e-06	2.586524e-05	3.976408e-06	4.384898e-06	
16.493603	5.421527e-06	2.645009e-05	4.066038e-06	4.537452e-06	
16.494604	5.545870e-06	2.703707e-05	4.154632e-06	4.689119e-06	
16.495605	5.668844e-06	2.762492e-05	4.241883e-06	4.839442e-06	
16.496606	5.790129e-06	2.821234e-05	4.327483e-06	4.987963e-06	
16.497607	5.909407e-06	2.879807e-05	4.411125e-06	5.134225e-06	
16.498608	6.026361e-06	2.938082e-05	4.492501e-06	5.277771e-06	
16.499609	6.140671e-06	2.995932e-05	4.571304e-06	5.418143e-06	
16.500610	6.252021e-06	3.053229e-05	4.647226e-06	5.554883e-06	
16.501611	6.360091e-06	3.109845e-05	4.719959e-06	5.687534e-06	
16.502612	6.464563e-06	3.165653e-05	4.789196e-06	5.815639e-06	
16.503613	6.565120e-06	3.220524e-05	4.854630e-06	5.938740e-06	
16.504614	6.661442e-06	3.274331e-05	4.915952e-06	6.056380e-06	
16.505615	6.753213e-06	3.326947e-05	4.972856e-06	6.168101e-06	
16.506616	6.840113e-06	3.378243e-05	5.025034e-06	6.273446e-06	
16.507617	6.921824e-06	3.428091e-05	5.072177e-06	6.371958e-06	
16.508618	6.998029e-06	3.476364e-05	5.113980e-06	6.463178e-06	
16.509619	7.068408e-06	3.522935e-05	5.150133e-06	6.546651e-06	
16.510620	7.132645e-06	3.567675e-05	5.180330e-06	6.621917e-06	
16.511621	7.190420e-06	3.610456e-05	5.204263e-06	6.688520e-06	
16.512622	7.241415e-06	3.651151e-05	5.221625e-06	6.746003e-06	
16.513622	7.285312e-06	3.689633e-05	5.232107e-06	6.793907e-06	
16.514623	7.321794e-06	3.725772e-05	5.235403e-06	6.831776e-06	
16.515624	7.350541e-06	3.759442e-05	5.231204e-06	6.859151e-06	
16.516625	7.371235e-06	3.790515e-05	5.219204e-06	6.875576e-06	
16.517626	7.383559e-06	3.818863e-05	5.199095e-06	6.880593e-06	
16.518627	7.387194e-06	3.844359e-05	5.170568e-06	6.873745e-06	
16.519628	7.381822e-06	3.866873e-05	5.133318e-06	6.854574e-06	
16.520629	7.367125e-06	3.886280e-05	5.087035e-06	6.822623e-06	
16.521630	7.342784e-06	3.902450e-05	5.031413e-06	6.777434e-06	
16.522631	7.308482e-06	3.915257e-05	4.966144e-06	6.718550e-06	
16.523632	7.263899e-06	3.924572e-05	4.890920e-06	6.645513e-06	
16.524633	7.208719e-06	3.930268e-05	4.805434e-06	6.557867e-06	
16.525634	7.142871e-06	3.932287e-05	4.709621e-06	6.455482e-06	
16.526635	7.066967e-06	3.930768e-05	4.604078e-06	6.339129e-06	
16.527636	6.981736e-06	3.925878e-05	4.489517e-06	6.209733e-06	
16.528637	6.887905e-06	3.917789e-05	4.366649e-06	6.068218e-06	
16.529638	6.786202e-06	3.906671e-05	4.236185e-06	5.915510e-06	
16.530639	6.677356e-06	3.892693e-05	4.098836e-06	5.752532e-06	
16.531640	6.562094e-06	3.876025e-05	3.955313e-06	5.580210e-06	
16.532641	6.441144e-06	3.856838e-05	3.806328e-06	5.399469e-06	
16.533642	6.315236e-06	3.835301e-05	3.652592e-06	5.211232e-06	
16.534643	6.185096e-06	3.811584e-05	3.494816e-06	5.016425e-06	
16.535643	6.051452e-06	3.785857e-05	3.333712e-06	4.815972e-06	
16.536644	5.915034e-06	3.758291e-05	3.169990e-06	4.610798e-06	
16.537645	5.776569e-06	3.729054e-05	3.004361e-06	4.401828e-06	
16.538646	5.636784e-06	3.698318e-05	2.837537e-06	4.189986e-06	
16.539647	5.496409e-06	3.666252e-05	2.670230e-06	3.976197e-06	
16.540648	5.356170e-06	3.633026e-05	2.503149e-06	3.761386e-06	
16.541649	5.216797e-06	3.598809e-05	2.337008e-06	3.546477e-06	
16.542650	5.079017e-06	3.563773e-05	2.172515e-06	3.332396e-06	
