X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
22.093192	-5.416953e-06	2.744981e-05	-7.000642e-06	2.989052e-08	
22.094193	-7.393434e-06	8.124213e-06	-1.366311e-05	1.216672e-07	
22.095194	1.197624e-06	-9.539015e-05	-1.385697e-05	-1.059889e-06	
22.096195	1.853564e-06	-1.098060e-04	-9.096672e-06	5.496130e-07	
22.097196	-4.886925e-06	4.050025e-06	-8.253413e-06	1.299524e-06	
22.098197	-1.190798e-05	1.081289e-05	-2.427275e-06	-2.742802e-06	
22.099198	-1.937806e-05	-3.459311e-05	6.181575e-06	-1.775714e-06	
22.100198	-1.836563e-05	4.743230e-05	7.481554e-06	3.931390e-07	
22.101199	-3.684899e-06	8.742560e-05	7.562580e-06	-8.803854e-07	
22.102200	6.324772e-06	2.225763e-05	4.212391e-06	2.660823e-06	
22.103201	9.768898e-06	-1.280401e-05	-1.235625e-06	2.401371e-07	
22.104202	1.817197e-05	-8.033237e-06	-6.165711e-07	-2.121785e-06	
22.105203	2.000307e-05	1.198593e-05	-5.941773e-07	3.262395e-06	
22.106204	1.155518e-05	2.702504e-05	-1.109275e-06	-2.655408e-07	
22.107204	3.125957e-06	2.262518e-05	-3.492573e-06	-6.226165e-07	
22.108205	-3.218944e-06	2.521634e-05	-8.974459e-06	4.012915e-06	
22.109206	-7.543710e-06	2.982693e-05	-4.889127e-06	1.337943e-07	
22.110207	-7.601234e-06	-1.766867e-05	7.412288e-07	-1.382495e-06	
22.111208	-2.055537e-07	-9.946877e-05	3.900332e-06	-2.159919e-06	
22.112209	3.695554e-06	-1.248550e-04	1.417558e-05	-4.011694e-06	
22.113210	-1.718164e-06	-7.058255e-05	1.514547e-05	-2.381482e-06	
22.114211	-3.509533e-06	-2.862316e-05	5.538543e-06	-3.853510e-07	
22.115211	-3.617830e-06	-1.776584e-05	3.149230e-06	3.374665e-06	
22.116212	-8.222222e-07	6.560123e-05	4.309236e-06	2.736625e-06	
22.117213	4.586624e-06	9.625269e-05	3.612447e-06	-1.620280e-06	
22.118214	-2.037494e-06	1.532480e-05	-1.306555e-07	4.468476e-08	
22.119215	-1.170397e-05	2.044132e-05	-3.799045e-06	2.727798e-06	
22.120216	-1.509339e-05	2.252239e-05	-3.684286e-06	1.005027e-06	
22.121217	-1.282248e-05	-5.118104e-05	-5.762678e-06	1.962238e-07	
22.122217	-2.927448e-06	-7.351864e-05	-4.172843e-06	3.024984e-06	
22.123218	6.734927e-06	-5.370617e-05	2.311184e-06	2.326909e-06	
22.124219	1.080715e-05	4.906765e-06	2.263059e-06	-6.602107e-07	
22.125220	9.111177e-06	6.181024e-05	1.991727e-07	4.583972e-07	
22.126221	6.312275e-06	5.698282e-05	5.052103e-07	-8.018522e-07	
